"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"sebelah";1;"palebah";"p";"tempat";"--";"lebah"
"sebelah";0;"sabeulah";"p";"tempat";"--";"beulah"
"sebelahnya";1;"gigireunana";"ad";"tempat";;"gigir"
"sebelum";1;"saméméh";"ad";"waktu";"--";"méméh"
"sebelumnya";1;"saméméhna";"ad";"waktu";"--";"méméh"
"sebentar";1;"sakeudeung";"ad";"waktu";;"keudeung"
"sebentar";1;"sakeudeung ";"ad";"waktu";"--";"keudeung"
"seberapa";1;"sabaraha";"a";"--";"--";"sabaraha"
"secara";1;"sacara";"p";"--";"--";"cara"
"sedang";1;"keur";"c";"--";"--";"keur"
"sedangkan";1;"sedengkeun";"c";"--";"--";"sedeng"
"segala";1;"sagala";"ad";"--";"--";"sagala"
"segenap";1;"sakabéh";"ad";"--";"--";"kabéh"
"seharusnya";1;"sakuduna";"ad";"--";"--";"kudu"
"sehingga";1;"ku kituna";"c";"--";"--";"kitu"
"sejak";1;"saprak";"ad";"waktu";"--";"saprak"
"sekadar";1;"saukur";"ad";"--";"--";"ukur"
"sekaligus";1;"sakaligus";"ad";"--";"--";"sakaligus"
"sekarang";1;"ayeuna";"ad";"waktu";;"ayeuna"
"sekarang";0;"kiwari";"ad";"waktu";;"kiwari"
"sekedar";1;"saukur";"ad";"--";"--";"ukur"
"sekejap";1;"sakotéap";"ad";"waktu";;"kotéap"
"sekitar";1;"kira-kira";"ad";"--";"--";"kira"
"sekitarnya";1;"sakurilingna";"ad";"tempat";"--";"kuriling"
"sela";1;"antara";"p";"--";"--";"antara"
"selain";1;"sajaba";"c";"--";"--";"jaba"
"selaku";1;"salaku";"p";"--";"--";"laku"
"selalu";1;"sok";"ad";"--";"--";"sok"
"selamanya";1;"salawasna";"ad";"waktu";;"lawas"
"selanjutnya";1;"saterusna";"ad";"--";"--";"terus"
"selengkapnya";1;"salengkepna";"ad";"--";"--";"lengkep"
"seluruh";1;"sakumna";"ad";"--";"--";"sakum"
"semakin";1;"beuki";"ad";"--";"--";"beuki"
"sembari";1;"bari";"c";"satata";"--";"bari"
"semenjak";1;"saprak";"ad";"waktu";"--";"saprak"
"sementara";1;"samentara";"c";"--";"--";"samentara"
"semestinya";1;"sakuduna";"ad";"--";"--";"kudu"
"semua";1;"kabéh";"ad";"--";"--";"kabéh"
"semua";0;"saréréa";"ad";;;"réa"
"semuanya";1;"kabéhanana";"ad";"--";"--";"kabéh"
"senantiasa";1;"sok";"ad";"--";"--";"teu"
"sengaja";1;"ngahaja";"m";"--";"--";"haja"
